t	x0	y0	x1	y1	x2	y2
2.03	-0.882346	-0.455463	-1.87711	-0.9374	-2.85722	-0.496263
2.04	-0.879354	-0.474414	-1.85973	-0.943847	-2.85236	-0.525783
2.05	-0.883807	-0.497888	-1.84168	-0.944755	-2.8406	-0.559182
2.06	-0.891951	-0.523931	-1.82496	-0.941799	-2.82245	-0.596037
2.07	-0.899235	-0.550166	-1.81121	-0.937067	-2.79924	-0.635662
2.08	-0.901371	-0.574367	-1.80111	-0.932589	-2.77303	-0.677236
2.09	-0.89527	-0.594933	-1.79406	-0.929948	-2.74639	-0.719962
2.1	-0.879637	-0.611166	-1.78817	-0.930055	-2.72211	-0.76321
2.11	-0.85509	-0.623305	-1.7807	-0.933117	-2.70267	-0.806622
2.12	-0.823814	-0.632378	-1.76884	-0.938771	-2.68978	-0.850142
2.13	-0.788873	-0.639937	-1.75059	-0.946309	-2.68394	-0.893959
2.14	-0.753424	-0.647734	-1.72545	-0.954972	-2.68424	-0.938376
2.15	-0.720034	-0.657419	-1.69483	-0.964216	-2.68836	-0.98365
2.16	-0.690291	-0.670294	-1.66176	-0.973893	-2.69299	-1.02985
2.17	-0.664737	-0.687178	-1.63025	-0.984282	-2.69446	-1.07679
2.18	-0.643099	-0.708382	-1.60426	-0.995958	-2.68941	-1.1241
2.19	-0.624684	-0.733772	-1.58663	-1.00955	-2.67558	-1.17133
2.2	-0.608768	-0.762855	-1.57829	-1.02547	-2.65224	-1.21812
2.21	-0.594876	-0.794841	-1.57794	-1.04373	-2.62033	-1.26439
2.22	-0.58283	-0.82865	-1.58231	-1.06388	-2.58226	-1.31039
2.23	-0.572604	-0.862903	-1.58695	-1.08504	-2.54133	-1.35672
2.24	-0.564043	-0.895931	-1.58741	-1.10617	-2.50096	-1.40427
2.25	-0.556575	-0.925857	-1.58031	-1.12626	-2.46397	-1.45395
2.26	-0.549064	-0.95076	-1.56419	-1.14467	-2.43198	-1.50649
2.27	-0.539891	-0.968912	-1.53978	-1.16131	-2.40513	-1.56214
2.28	-0.52728	-0.979038	-1.50966	-1.17682	-2.38222	-1.62055
2.29	-0.5098	-0.980562	-1.47744	-1.1924	-2.36109	-1.68079
2.3	-0.486893	-0.973801	-1.44669	-1.20962	-2.33917	-1.74152
2.31	-0.459262	-0.960076	-1.41995	-1.22995	-2.31409	-1.80129
2.32	-0.428952	-0.941708	-1.39805	-1.25439	-2.2841	-1.85889
2.33	-0.399071	-0.921848	-1.38001	-1.28308	-2.24836	-1.91352
2.34	-0.373178	-0.904092	-1.36347	-1.31528	-2.20689	-1.96499
2.35	-0.354499	-0.891892	-1.34549	-1.34957	-2.16039	-2.01359
2.36	-0.345176	-0.887851	-1.32349	-1.38435	-2.10993	-2.05996
2.37	-0.345733	-0.893099	-1.29606	-1.41833	-2.05662	-2.1049
2.38	-0.354889	-0.906928	-1.26337	-1.45107	-2.00142	-2.14912
2.39	-0.369779	-0.926826	-1.22702	-1.48308	-1.945	-2.19319
2.4	-0.386545	-0.948941	-1.18956	-1.51567	-1.88787	-2.23755
2.41	-0.401195	-0.968878	-1.15358	-1.55045	-1.83046	-2.28261
2.42	-0.41052	-0.982669	-1.12089	-1.58875	-1.7733	-2.32893
2.43	-0.412806	-0.987704	-1.09193	-1.63097	-1.71705	-2.3773
2.44	-0.408127	-0.983389	-1.06565	-1.67623	-1.66249	-2.42868
2.45	-0.398155	-0.971342	-1.0399	-1.72239	-1.6103	-2.48408
2.46	-0.385564	-0.955024	-1.01217	-1.76661	-1.56088	-2.54415
2.47	-0.37326	-0.938882	-0.980406	-1.80615	-1.51406	-2.60888
2.48	-0.363667	-0.92724	-0.943663	-1.83935	-1.46908	-2.67731
2.49	-0.358247	-0.923269	-0.902331	-1.86633	-1.42458	-2.7474
2.5	-0.357343	-0.928325	-0.857989	-1.8891	-1.37883	-2.81628
2.51	-0.360312	-0.941821	-0.812901	-1.91112	-1.33005	-2.88067
2.52	-0.365884	-0.961622	-0.769331	-1.93631	-1.27679	-2.93757
2.53	-0.372576	-0.98481	-0.728902	-1.96783	-1.21822	-2.98492
2.54	-0.379046	-1.00854	-0.692182	-2.00694	-1.15428	-3.02212
2.55	-0.384273	-1.03074	-0.65862	-2.05244	-1.08572	-3.0502
2.56	-0.387565	-1.05041	-0.626821	-2.10071	-1.01388	-3.07167
2.57	-0.388448	-1.0675	-0.595044	-2.14655	-0.940311	-3.08996
2.58	-0.386525	-1.08245	-0.561749	-2.18443	-0.866454	-3.10859
2.59	-0.381383	-1.09557	-0.52602	-2.20992	-0.793262	-3.13035
2.6	-0.372578	-1.1066	-0.487732	-2.22095	-0.72107	-3.15658
2.61	-0.359698	-1.11453	-0.447443	-2.21827	-0.649651	-3.18676
2.62	-0.34248	-1.11785	-0.406083	-2.20532	-0.578439	-3.21861
2.63	-0.320913	-1.11511	-0.364587	-2.18728	-0.506814	-3.24857
2.64	-0.295283	-1.10561	-0.323623	-2.16961	-0.434334	-3.27262
2.65	-0.266147	-1.09002	-0.283472	-2.15666	-0.360853	-3.28718
2.66	-0.234236	-1.07063	-0.24406	-2.15057	-0.286518	-3.2899
2.67	-0.200322	-1.05101	-0.20508	-2.15082	-0.211676	-3.28006
2.68	-0.16509	-1.03537	-0.166157	-2.15464	-0.136735	-3.25864
2.69	-0.129048	-1.02744	-0.126995	-2.15797	-0.0620216	-3.22797
2.7	-0.0924936	-1.02936	-0.0874776	-2.15676	0.0123122	-3.19111
2.71	-0.0555681	-1.04095	-0.0476785	-2.14828	0.0863114	-3.15118
2.72	-0.018359	-1.05941	-0.00780622	-2.13183	0.160167	-3.11083
2.73	0.0189857	-1.07985	0.031903	-2.10891	0.234123	-3.07189
2.74	0.0561904	-1.09627	0.071279	-2.08266	0.308381	-3.03531
2.75	0.0928628	-1.10304	0.110258	-2.0568	0.383058	-3.00139
2.76	0.12858	-1.0963	0.14886	-2.03449	0.458192	-2.97005
2.77	0.163018	-1.07493	0.187122	-2.01739	0.533791	-2.9411
2.78	0.196097	-1.04094	0.225041	-2.00527	0.609864	-2.9144
2.79	0.228075	-0.999037	0.262568	-1.99621	0.686421	-2.88983
2.8	0.259572	-0.955516	0.299671	-1.9874	0.7634	-2.86715
2.81	0.291475	-0.916823	0.336471	-1.97613	0.840556	-2.84583
2.82	0.324726	-0.888081	0.37338	-1.96073	0.917361	-2.82493
2.83	0.36005	-0.872006	0.411164	-1.94122	0.992976	-2.80317
2.84	0.397698	-0.868461	0.450866	-1.91931	1.06636	-2.77913
2.85	0.43731	-0.874699	0.493578	-1.89793	1.13648	-2.75154
2.86	0.477924	-0.886209	0.54013	-1.88036	1.20263	-2.71967
2.87	0.518135	-0.897878	0.590789	-1.86917	1.2647	-2.6836
2.88	0.556345	-0.90519	0.645059	-1.86539	1.32335	-2.64435
2.89	0.591057	-0.905161	0.701623	-1.86813	1.38	-2.60372
2.9	0.621145	-0.896815	0.758468	-1.87461	1.43667	-2.56402
2.91	0.646056	-0.881114	0.813201	-1.88093	1.49557	-2.52749
2.92	0.66586	-0.860441	0.863544	-1.88299	1.5586	-2.4958
2.93	0.68114	-0.837797	0.907941	-1.87756	1.62677	-2.46962
2.94	0.692755	-0.815982	0.946089	-1.863	1.69986	-2.44851
2.95	0.701571	-0.796978	0.979217	-1.83961	1.77622	-2.43097
2.96	0.708254	-0.781667	1.00995	-1.80944	1.853	-2.41479
2.97	0.713194	-0.769933	1.04178	-1.77571	1.92672	-2.39742
2.98	0.716551	-0.761057	1.07825	-1.74196	1.99401	-2.37652
2.99	0.718408	-0.754253	1.12211	-1.71101	2.0523	-2.35037
3	0.718973	-0.749155	1.17454	-1.68428	2.10043	-2.31821
3.01	0.718749	-0.746056	1.23474	-1.66135	2.13892	-2.28042
3.02	0.718591	-0.745821	1.29994	-1.64009	2.16979	-2.23839
3.03	0.719561	-0.749474	1.36598	-1.61736	2.19618	-2.19426
3.04	0.722583	-0.757631	1.4282	-1.58988	2.22154	-2.15042
3.05	0.727992	-0.769999	1.48267	-1.5552	2.24895	-2.10902
3.06	0.735184	-0.78516	1.52718	-1.51236	2.28037	-2.07153
3.07	0.742535	-0.800746	1.56178	-1.46213	2.31638	-2.03842
3.08	0.747714	-0.81397	1.58863	-1.40671	2.35611	-2.00911
3.09	0.748333	-0.822356	1.61127	-1.34909	2.3976	-1.98215
3.1	0.742778	-0.824396	1.63343	-1.29229	2.43838	-1.95556
3.11	0.730944	-0.819912	1.65785	-1.23863	2.47599	-1.92732
3.12	0.714591	-0.810013	1.68544	-1.18943	2.50851	-1.89577
3.13	0.69715	-0.796712	1.71505	-1.14496	2.53485	-1.85989
3.14	0.682993	-0.782358	1.7439	-1.10466	2.55477	-1.81941
3.15	0.67638	-0.769035	1.76853	-1.06751	2.56874	-1.77467
3.16	0.680357	-0.758075	1.78588	-1.03243	2.57765	-1.72645
3.17	0.695913	-0.749761	1.79424	-0.998605	2.58255	-1.67571
3.18	0.721581	-0.7433	1.79379	-0.965651	2.58443	-1.62334
3.19	0.753615	-0.737062	1.78659	-0.933643	2.58407	-1.57009
3.2	0.786718	-0.729019	1.77603	-0.90292	2.58211	-1.51654
3.21	0.815175	-0.717264	1.76589	-0.87382	2.57915	-1.46319
3.22	0.834134	-0.700472	1.75927	-0.846441	2.57591	-1.4106
3.23	0.84072	-0.678208	1.75776	-0.820501	2.57335	-1.35945
3.24	0.834683	-0.651042	1.76099	-0.795337	2.5727	-1.31052
3.25	0.818409	-0.620485	1.76685	-0.770041	2.57526	-1.2646
3.26	0.796304	-0.588742	1.77219	-0.74369	2.58214	-1.2223
3.27	0.773716	-0.55833	1.77393	-0.715644	2.59388	-1.18384
3.28	0.755695	-0.531623	1.77013	-0.68581	2.61021	-1.149
