t	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
0.27	0.97386	-0.0427805	1.02751	0.954595	1.96091	-0.120877	2.03788	0.875412	2.95833	-0.207931	3.03619	0.788236	3.96414	-0.285168	4.02755	0.712037	4.97551	-0.340235	5.01598	0.658131	5.98846	-0.368115	6.00476	0.631077	6.99907	-0.371915	6.99635	0.627503	8.00622	-0.360571	7.99098	0.639083
0.28	0.972749	-0.0442513	1.02885	0.952852	1.95884	-0.125993	2.03998	0.869864	2.95563	-0.218001	3.03839	0.777708	3.96123	-0.300677	4.02942	0.696106	4.97278	-0.360448	5.01745	0.637679	5.98615	-0.392438	6.00587	0.606602	6.99779	-0.399374	6.99667	0.59997	8.00645	-0.38853	7.99001	0.61108
0.29	0.971636	-0.0457311	1.0302	0.951081	1.95674	-0.131184	2.0421	0.864216	2.95287	-0.228151	3.04059	0.767071	3.95827	-0.316151	4.03128	0.68018	4.96989	-0.380787	5.01898	0.617072	5.98355	-0.417265	6.00711	0.581603	6.99623	-0.427838	6.99711	0.571407	8.00629	-0.417531	7.9893	0.582039
0.3	0.970505	-0.0472347	1.03157	0.949264	1.95466	-0.136446	2.04418	0.858486	2.95008	-0.23837	3.04277	0.756322	3.95521	-0.331534	4.03317	0.664324	4.96679	-0.40128	5.0206	0.596256	5.98072	-0.442674	6.00841	0.556004	6.99443	-0.457104	6.9976	0.542016	8.00567	-0.447578	7.9889	0.551957
0.31	0.969349	-0.0487862	1.03296	0.947383	1.9526	-0.141769	2.04622	0.852692	2.94732	-0.2486	3.04488	0.745519	3.95203	-0.346823	4.03512	0.64854	4.96343	-0.421975	5.02235	0.575168	5.97772	-0.468698	6.00971	0.52977	6.99242	-0.486924	6.99811	0.512057	8.00455	-0.478684	7.98884	0.520824
0.32	0.968181	-0.0504078	1.03435	0.945428	1.95053	-0.147138	2.04822	0.846841	2.9446	-0.258748	3.0469	0.734765	3.94874	-0.362057	4.03712	0.632779	4.95982	-0.44294	5.0242	0.553747	5.97456	-0.495275	6.01096	0.502947	6.99016	-0.517099	6.99865	0.481745	8.0029	-0.510861	7.98913	0.488628
0.33	0.967017	-0.0521028	1.03572	0.943404	1.94846	-0.152527	2.0502	0.840951	2.94189	-0.268735	3.0489	0.72415	3.94536	-0.377294	4.03914	0.616961	4.95604	-0.464235	5.02605	0.531956	5.97126	-0.522245	6.01213	0.475681	6.98761	-0.547542	6.99928	0.451179	8.00068	-0.54412	7.98977	0.455358
0.34	0.965866	-0.0538474	1.03708	0.941332	1.94642	-0.157884	2.05213	0.835067	2.93913	-0.278536	3.05096	0.713701	3.94186	-0.392604	4.04121	0.601	4.95218	-0.485867	5.02781	0.509808	5.96784	-0.549386	6.0132	0.448192	6.98471	-0.578276	7.00004	0.42033	7.9979	-0.578467	7.99076	0.421005
0.35	0.964734	-0.0555955	1.03841	0.939248	1.94446	-0.16313	2.05403	0.829271	2.93628	-0.288187	3.05313	0.703369	3.93819	-0.408063	4.04333	0.584817	4.94827	-0.507762	5.02941	0.487379	5.9643	-0.576489	6.01419	0.420711	6.98142	-0.60937	7.00097	0.389097	7.99455	-0.613902	7.99208	0.385564
0.36	0.963639	-0.0572861	1.03973	0.937208	1.94255	-0.16818	2.05593	0.823648	2.93333	-0.297771	3.05539	0.693058	3.93436	-0.423734	4.04546	0.568365	4.94434	-0.529769	5.03085	0.464804	5.9606	-0.603425	6.01516	0.393396	6.9777	-0.640878	7.00207	0.357396	7.99062	-0.650428	7.9937	0.349025
