t	x0	y0	x1	y1	x2	y2
1.22	0.501555	0.860007	-1.00284	-0.00736702	0.492933	-0.875202
1.23	0.412456	0.907313	-1.00021	-0.10744	0.577156	-0.82465
1.24	0.321176	0.947883	-0.990059	-0.205756	0.657747	-0.767612
1.25	0.226695	0.976063	-0.966686	-0.300675	0.73007	-0.699774
1.26	0.12959	0.990547	-0.929146	-0.391175	0.792395	-0.620975
1.27	0.0314822	0.996124	-0.882587	-0.47824	0.847825	-0.535548
1.28	-0.0666126	0.997065	-0.831637	-0.563095	0.899361	-0.447285
1.29	-0.163991	0.991093	-0.77516	-0.644021	0.94442	-0.356387
1.3	-0.25929	0.972317	-0.709131	-0.716945	0.976852	-0.261688
1.31	-0.351459	0.939099	-0.632941	-0.780116	0.994409	-0.163774
1.32	-0.441247	0.896097	-0.550496	-0.836365	1.00152	-0.0647244
1.33	-0.529789	0.848004	-0.465544	-0.888836	1.00326	0.0339379
1.34	-0.61536	0.793825	-0.378265	-0.935492	0.998562	0.131459
1.35	-0.693437	0.729273	-0.287113	-0.970498	0.981977	0.226783
1.36	-0.761251	0.653389	-0.192098	-0.991382	0.951317	0.318993
1.37	-0.820793	0.570292	-0.0948893	-1.00224	0.910713	0.408683
1.38	-0.875333	0.484516	0.00319955	-1.0081	0.86512	0.496989
1.39	-0.923692	0.39689	0.10157	-1.00789	0.814216	0.582612
1.4	-0.960568	0.305883	0.199126	-0.995557	0.75391	0.66152
1.41	-0.983177	0.21121	0.294457	-0.967977	0.682739	0.73104
1.42	-0.995109	0.114486	0.387399	-0.92894	0.604182	0.793024
1.43	-1.00162	0.0172352	0.478656	-0.884094	0.522382	0.850823
1.44	-1.00248	-0.0799067	0.567028	-0.834125	0.437844	0.903484
1.45	-0.992271	-0.176165	0.648577	-0.775241	0.348593	0.945458
1.46	-0.96778	-0.270532	0.720209	-0.705527	0.254065	0.973067
1.47	-0.932406	-0.363086	0.783177	-0.628135	0.156093	0.989105
1.48	-0.891636	-0.454724	0.8409	-0.547585	0.0567001	0.99889
1.49	-0.846082	-0.544464	0.893339	-0.465039	-0.0431949	1.00282
1.5	-0.791497	-0.62836	0.93591	-0.378681	-0.142744	0.995648
1.51	-0.725239	-0.702884	0.965171	-0.287495	-0.240602	0.973572
1.52	-0.650078	-0.768802	0.983621	-0.192727	-0.336095	0.93943
1.53	-0.570775	-0.829561	0.996473	-0.0960015	-0.4295	0.899078
1.54	-0.488848	-0.885553	1.00435	0.00205684	-0.519907	0.854187
1.55	-0.402434	-0.9322	1.00198	0.100859	-0.603955	0.801259
1.56	-0.310252	-0.965185	0.984986	0.199074	-0.678597	0.737564
1.57	-0.213688	-0.985975	0.955581	0.295762	-0.744758	0.665403
1.58	-0.115047	-0.999718	0.919547	0.39103	-0.806067	0.589277
1.59	-0.0156372	-1.00807	0.878789	0.484159	-0.863314	0.510624
1.6	0.0837103	-1.00681	0.829617	0.571954	-0.912175	0.427302
1.61	0.181743	-0.991728	0.768574	0.650896	-0.948128	0.33756
1.62	0.277597	-0.964563	0.697477	0.720939	-0.972288	0.242484
1.63	0.371481	-0.930909	0.621201	0.785128	-0.98986	0.144355
1.64	0.463047	-0.893044	0.542055	0.844581	-1.00281	0.0444735
1.65	0.549646	-0.847616	0.45843	0.895671	-1.0067	-0.0564289
1.66	0.628116	-0.79096	0.368537	0.934049	-0.996243	-0.15697
1.67	0.698497	-0.724358	0.273356	0.960433	-0.972121	-0.255724
1.68	0.764014	-0.652309	0.175397	0.979808	-0.939909	-0.352284
1.69	0.826207	-0.57688	0.0762872	0.99454	-0.902852	-0.446155
1.7	0.881583	-0.49604	-0.0232269	1.00078	-0.858448	-0.534932
1.71	0.925102	-0.4075	-0.122076	0.993403	-0.802965	-0.615481
1.72	0.956326	-0.312176	-0.219221	0.972925	-0.737125	-0.687426
1.73	0.979645	-0.213115	-0.314668	0.944894	-0.665306	-0.753652
1.74	0.99781	-0.112575	-0.408442	0.91265	-0.590141	-0.815975
1.75	1.00757	-0.0115122	-0.498551	0.873335	-0.510261	-0.871602
1.76	1.00368	0.0890462	-0.581735	0.822253	-0.423567	-0.915947
1.77	0.985954	0.187859	-0.656996	0.759255	-0.330759	-0.948587
1.78	0.959595	0.284445	-0.726764	0.688693	-0.234564	-0.973934
1.79	0.928482	0.378566	-0.793029	0.613848	-0.136885	-0.995036
1.8	0.890597	0.468475	-0.853312	0.533815	-0.0382251	-1.00881
1.81	0.841604	0.551389	-0.902632	0.446395	0.0607619	-1.00954
1.82	0.781195	0.626626	-0.939453	0.352106	0.158882	-0.996232
1.83	0.713576	0.696837	-0.967367	0.254006	0.255532	-0.973722
1.84	0.642071	0.764356	-0.9897	0.154731	0.350595	-0.946196
1.85	0.565661	0.826994	-1.00436	0.0553325	0.442698	-0.911887
1.86	0.481695	0.879587	-1.00632	-0.0434641	0.529092	-0.865986
1.87	0.390254	0.920062	-0.994556	-0.140672	0.608386	-0.807353
1.88	0.294312	0.951799	-0.97373	-0.23596	0.682233	-0.739969
